Gene Symbol	Gene Name	Mutated Tumor Samples	Ocogene score 	Tumor Suppressor Gene score 	Classification	Core pathway	Process
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	10628	97%	0%	Oncogene	PI3K; RAS	Cell Survival
EP300	E1A binding protein p300	88	12%	32%	TSG	Chromatin Modification; APC; TGF-b; NOTCH	Cell Survival/Fate
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	164	67%	3%	Oncogene	PI3K; RAS	Cell Survival
EZH2	enhancer of zeste homolog 2 (Drosophila)	276	67%	12%	Oncogene	Chromatin Modification	Cell Fate
FAM123B	family with sequence similarity 123B	55	4%	66%	TSG	APC	Cell Fate
FBXW7	F-box and WD repeat domain containing 7	312	55%	18%	TSG	NOTCH	Cell Fate
FGFR2	fibroblast growth factor receptor 2	121	49%	6%	Oncogene	PI3K; RAS ; STAT	Cell Survival
FGFR3	fibroblast growth factor receptor 3	2948	99%	0%	Oncogene	PI3K; RAS ; STAT	Cell Survival
FLT3	fms-related tyrosine kinase 3	11520	98%	0%	Oncogene	RAS; PI3K; STAT	Cell Survival
FOXL2	forkhead box L2	330	100%	0%	Oncogene	TGF-b 	Cell Fate
FUBP1	far upstream element (FUSE) binding protein 1	9	0%	70%	TSG	Cell Cycle/Apoptosis	Cell Survival
GATA1	GATA binding protein 1 (globin transcription factor 1)	203	8%	84%	TSG	NOTCH, TGF-b 	Cell Fate
GATA2	GATA binding protein 2	45	53%	4%	Oncogene	NOTCH, TGF-b 	Cell Fate
GATA3	GATA binding protein 3	33	9%	66%	TSG	Transcriptional Regulation	Cell Fate
GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	110	92%	1%	Oncogene	PI3K; RAS; MAPK	Cell Survival
GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	245	95%	1%	Oncogene	PI3K;RAS; MAPK	Cell Survival
GNAS	GNAS complex locus	422	93%	2%	Oncogene	APC; PI3K; TGF-b, RAS	Cell Survival/Cell Fate
H3F3A	H3 histone, family 3B (H3.3B); H3 histone, family 3A pseudogene; H3 histone, family 3A; similar to H3 histone, family 3B; similar to histone H3.3B	122	93%	0%	Oncogene	Chromatin Modification	Cell Fate
HIST1H3B	histone cluster 1, H3j; histone cluster 1, H3i; histone cluster 1, H3h; histone cluster 1, H3g; histone cluster 1, H3f; histone cluster 1, H3e; histone cluster 1, H3d; histone cluster 1, H3c; histone cluster 1, H3b; histone cluster 1, H3a; histone cluster 1, H2ad; histone cluster 2, H3a; histone cluster 2, H3c; histone cluster 2, H3d	25	60%	0%	Oncogene	Chromatin Modification	Cell Fate
HNF1A	HNF1 homeobox A	126	29%	55%	TSG	APC	Cell Fate
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	812	96%	0%	Oncogene	RAS	Cell Survival
IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	4509	100%	0%	Oncogene	Chromatin Modification	Cell Fate
IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1029	99%	0%	Oncogene	Chromatin Modification	Cell Fate
JAK1	Janus kinase 1	61	26%	18%	Oncogene	STAT	Cell Survival
JAK2	Janus kinase 2	32692	100%	0%	Oncogene	STAT	Cell Survival
JAK3	Janus kinase 3	89	60%	6%	Oncogene	STAT	Cell Survival
KDM5C	lysine (K)-specific demethylase 5C	26	0%	62%	TSG	Chromatin Modification	Cell Fate
KDM6A	lysine (K)-specific demethylase 6A	66	0%	72%	TSG	Chromatin Modification	Cell Fate
KIT	similar to Mast/stem cell growth factor receptor precursor (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen); v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4720	90%	0%	Oncogene	PI3K; RAS; STAT	Cell Survival
KLF4	Kruppel-like factor 4	61	80%	4%	Oncogene	Transcriptional Regulation; WNT	Cell Fate
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	23261	100%	0%	Oncogene	RAS	Cell Survival
MAP2K1	mitogen-activated protein kinase kinase 1	13	67%	0%	Oncogene	RAS	Cell Survival
MAP3K1	mitogen-activated protein kinase kinase kinase 1	11	0%	63%	TSG	RAS; MAPK	Cell Survival
MED12	mediator complex subunit 12	337	84%	0%	Oncogene	Cell Cycle/Apoptosis; TGF-b 	Cell Survival
MEN1	multiple endocrine neoplasia I	290	7%	68%	TSG	Chromatin Modification	Cell Fate
MET	met proto-oncogene (hepatocyte growth factor receptor)	159	61%	4%	Oncogene	PI3K; RAS	Cell Survival
MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	61	18%	37%	TSG	DNA Damage Control	Genome Maintenance
MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	165	1%	70%	TSG	Chromatin Modification	Cell Fate
MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	111	5%	44%	TSG	Chromatin Modification	Cell Fate
MPL	myeloproliferative leukemia virus oncogene	531	96%	0%	Oncogene	STAT	Cell SUrvival
MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	37	0%	65%	TSG	DNA Damage Control	Genome Maintenance
MSH6	mutS homolog 6 (E. coli)	135	3%	68%	TSG	DNA Damage Control	Genome Maintenance
MYD88	myeloid differentiation primary response gene (88)	134	92%	1%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
NCOR1	nuclear receptor co-repressor 1	35	11%	32%	TSG	Chromatin Modification	Cell Fate
NF1	neurofibromin 1	362	2%	73%	TSG	RAS	Cell Survival
NF2	neurofibromin 2 (merlin)	609	4%	89%	TSG	APC	Cell Fate
NFE2L2	nuclear factor (erythroid-derived 2)-like 2	102	74%	1%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	661	44%	27%	TSG	NOTCH	Cell Fate
NOTCH2	Notch homolog 2 (Drosophila)	51	0%	27%	TSG	NOTCH	Cell Fate
NPM1	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21; hypothetical LOC100131044; similar to nucleophosmin 1; nucleophosmin (nucleolar phosphoprotein B23, numatrin)	2471	2%	98%	TSG	Cell Cycle/Apoptosis	Cell Survival
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2738	99%	0%	Oncogene	RAS	Cell Survival
PAX5	paired box 5	49	42%	26%	TSG	Chromatin Modification	Cell Fate
PBRM1	polybromo 1	171	0%	83%	TSG	Chromatin Modification	Cell Fate
PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	653	84%	1%	Oncogene	PI3K; RAS	Cell Survival
PHF6	PHD finger protein 6	57	18%	61%	TSG	Transcriptional Regulation	Cell Fate
PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	4560	95%	1%	Oncogene	PI3K	Cell Survival
PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	88	14%	37%	TSG	PI3K	Cell Survival
PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform	86	85%	2%	Oncogene	Cell Cycle/Apoptosis	Cell Survival
PRDM1	PR domain containing 1, with ZNF domain	46	0%	64%	TSG	Chromatin Modification	Cell Fate
PTCH1	patched homolog 1 (Drosophila)	318	7%	60%	TSG	HH	Cell Fate
PTEN	phosphatase and tensin homolog; phosphatase and tensin homolog pseudogene 1	1719	30%	55%	TSG	PI3K	Cell Survival
PTPN11	protein tyrosine phosphatase, non-receptor type 11; similar to protein tyrosine phosphatase, non-receptor type 11	410	90%	0%	Oncogene	RAS	Cell Survival
RB1	retinoblastoma 1	208	4%	80%	TSG	Cell Cycle/Apoptosis	Cell Survival
RET	ret proto-oncogene	500	86%	1%	Oncogene	RAS; PI3K 	Cell Survival
RNF43	ring finger protein 43	27	7%	43%	TSG	APC	Cell Fate
RUNX1	runt-related transcription factor 1	304	34%	41%	TSG	Transcriptional Regulation	Cell Fate
SETD2	SET domain containing 2	47	3%	47%	TSG	Chromatin Modification	Cell Fate
SETBP1	SET binding protein 1	95	25%	4%	Oncogene	Chromatin Modification; Replication	Cell Fate
SF3B1	splicing factor 3b, subunit 1, 155kDa	516	91%	0%	Oncogene	Transcriptional Regulation	Cell Fate
SMAD2	SMAD family member 2	16	0%	41%	TSG	TGF-b 	Cell Survival
SMAD4	SMAD family member 4	207	24%	39%	TSG	TGF-b 	Cell Survival
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	68	22%	22%	TSG	Chromatin Modification	Cell Fate
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	247	16%	74%	TSG	Chromatin Modification	Cell Fate
SMO	smoothened homolog (Drosophila)	34	51%	3%	Oncogene	HH	Cell Fate
SOCS1	suppressor of cytokine signaling 1	41	15%	46%	TSG	STAT	Cell Survival
SOX9	SRY (sex determining region Y)-box 9	9	0%	70%	TSG	APC	Cell Survival
SPOP	speckle-type POZ protein	35	66%	3%	Oncogene	Chromatin Modification; HH	Cell Fate
SRSF2	SRSF2 serine/arginine-rich splicing factor 2	273	95%	2%	Oncogene	Transcriptional Regulation	Cell Fate
STAG2	stromal antigen 2	21	0%	33%	TSG	DNA Damage Control	Genome Maintenance
STK11	serine/threonine kinase 11	220	24%	52%	TSG	mTOR	Cell Survival
TET2	tet oncogene family member 2	864	14%	70%	TSG	Chromatin Modification	Cell Fate
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	136	1%	80%	TSG	Cell Cycle/Apoptosis; MAPK	Cell Survival
TRAF7	TNF receptor-associated factor 7	123	61%	9%	TSG	Apoptosis	Cell Survival
TP53	tumor protein p53	14438	73%	20%	TSG	Cell Cycle/Apoptosis; DNA Damage Control	Cell Survival
TSC1	tuberous sclerosis 1	20	0%	45%	TSG	PI3K	Cell SUrvival
TSHR	thyroid stimulating hormone receptor	301	86%	0%	Oncogene	PI3K; MAPK	Cell Survival
U2AF1	U2 small nuclear RNA auxiliary factor 1	96	92%	1%	Oncogene	Transcriptional Regulation	Cell Fate
VHL	von Hippel-Lindau tumor suppressor	1287	27%	60%	TSG	PI3K; RAS; STAT	Cell Survival
WT1	Wilms tumor 1	312	10%	79%	TSG	Chromatin Modification	Cell Fate

