gene	chr	start	end	expression_CCLE	replication_time	noncoding_mutation_rate	local_GC_content	HiC_compartment	local_gene_density	wgs_mean_depth	wgs_percent_20x	capture_on_target_rate	capture_mean_depth	capture_pct200	capture_mean_percentGC
ABCA10	17	67144148	67240956	137274.1	415	0.000002859630	0.361395	-0.0432268	10	49.27027	94.32432	0.9097481	126.9016	15.4459	36.69768
ABCA12	2	215796267	216003151	526764.3	857	0.000003249938	0.38078	0.00933096	4	49.02703	97.08108	0.8894019	120.3934	12.56066	39.0353
ABCA13	7	48211057	48687091	93300	878	0.000004526849	0.391038	-0.01119164	9	54.67568	96.43243	0.8983678	98.27213	12.85574	40.6647
ABCA2	9	139901686	139923374	1951939	202	0.000003757480	0.62853	0.03992309	43	35.97297	64.27027	0.9510267	50.56721	1.629508	63.99167
ABCA3	16	2325879	2390747	2220466	233	0.000002005064	0.56979	0.04589097	49	42.56757	87.48649	0.8980823	114.8951	13.94426	58.99206
ABCA4	1	94458396	94586705	512481.5	370	0.000001648213	0.427015	-0.001895926	9	50.18919	97.27027	0.8885158	120.9508	15.3377	49.17093
ABCA5	17	67240576	67323323	52619.81	314	0.000002916539	0.35869	-0.04953827	9	42.05405	87.91892	0.8872221	104.2066	8.983607	33.04273
ABCA6	17	67074847	67138015	240031.3	493	0.000002808309	0.37149	-0.03912152	10	48.10811	91.43243	0.891042	116.4426	12.70492	37.2837
ABCA7	19	1040102	1065568	2387949	206	0.000003222825	0.60256	0.0260103	37	39.40541	74.08108	0.9246247	98.24262	11.18033	62.10429
ABCA8	17	66863433	66951533	295848.4	637	0.000002726601	0.38745	-0.04116349	9	53.35135	97.45946	0.8821881	116.4164	12.08197	39.8626
ABCA9	17	66970774	67057136	263022.9	602	0.000002766728	0.37328	-0.041954	9	53.97297	97.32432	0.8939441	136.6689	16.3377	39.23383
ABCB1	7	87132948	87342564	287293.1	822	0.000003943942	0.3726133	0.0003196724	8	54.16216	98.2973	0.756964	120.7049	11.08852	40.2865
ABCB10	1	229652330	229694442	255826.4	277	0.000002772563	0.42667	0.02002447	7	45.59459	85.43243	0.8801328	116.2951	14.79672	44.1552
ABCB11	2	169779449	169887833	223582.3	560	0.000002329443	0.387425	0.001437665	6	51.91892	97.78378	0.885964	119.9213	18.59016	42.08911
ABCB4	7	87031361	87105019	225315.2	837	0.000003988913	0.3838	0.007980436	6	52.59459	97.24324	0.8917222	134.6689	16.46885	42.22466
ABCB5	7	20655245	20796636	164217.9	648	0.000004089122	0.371865	0.003580114	4	52.67568	97.48649	0.888748	89.27869	6.698361	39.06695
ABCB6	2	220074494	220083672	773231.8	177	0.000002179779	0.45116	0.03644875	34	49.35135	90.62162	0.9206515	114.4197	14.94426	54.72275
ABCB7	23	74273107	74376132	183021.5	NaN	0.000004018958	0.37127	-0.00529885	5	27.89189	71.83784	0.8926335	76.75082	5.236066	38.69591
ABCB8	7	150725510	150744867	622098.2	373	0.000002712657	0.57286	0.04144484	27	48.7027	92.05405	0.9036971	99.40328	8.47541	61.11026
ABCB9	12	123413540	123459752	1093113	196	0.000002334991	0.48981	0.04669136	21	45.35135	87.27027	0.894823	70.37705	4.813115	58.03627
ABCC1	16	16043434	16236928	409365.6	264	0.000003333272	0.47555	0.0330002	7	47.24324	95.02703	0.8501177	113.4951	12.83607	54.75679
ABCC10	6	43399489	43418163	1270265	230	0.000002139871	0.46952	0.04907893	32	54.56757	94.24324	0.9269081	136.0656	15.99016	58.87161
ABCC11	16	48200822	48269088	216539	578	0.000003131330	0.46818	-0.02205047	5	50.2973	96.45946	0.8801425	117.3705	12.65574	51.62474
ABCC12	16	48116884	48180681	229669.5	628	0.000002968446	0.45672	-0.02667716	3	52.91892	97.59459	0.8819378	149.2623	21.68525	48.81531
ABCC2	10	101542463	101611662	1035115	171	0.000002243057	0.427145	0.02976834	9	50.91892	96.59459	0.8911695	156.7672	22.28852	45.07634
ABCC3	17	48712218	48769062	1585602	196	0.000001997497	0.5458	0.01835421	26	55.27027	93.81081	0.9087179	118.8361	13.26885	57.75809
ABCC4	13	95672084	95953687	200376.9	596	0.000002773726	0.4145275	0.03032535	6	51.64865	96.24324	0.8510113	110.3639	11.59016	41.75582
ABCC5	3	183637726	183735727	1425631	375	0.000002793421	0.4464	0.043429	10	72.67568	98.83784	0.885085	147.1607	19.3377	49.0519
ABCC6	16	16243423	16317328	385822.7	188	0.000003501749	0.485425	0.0225807	8	47	93.2973	0.8742894	80.00984	6.255738	57.05954
ABCC8	11	17414433	17498449	454502.7	598	0.000002471743	0.47202	0.01412297	7	49.72973	95.10811	0.8167732	111.2295	13.30164	56.9719
ABCC9	12	21950326	22089628	529910.7	984	0.000004002064	0.367755	-0.01726562	12	50.78378	95.78378	0.8865596	132.1508	16.71475	38.73971
ABCD1	23	152990323	153010216	1910154	NaN	0.000002679283	0.55204	0.03743487	23	26.08108	53.67568	0.9309801	53.37049	2.285246	62.7356
ABCD2	12	39945022	40013843	70113.27	596	0.000003824215	0.36398	-0.01559084	3	48.59459	94.05405	0.9132172	141.6951	16.22623	38.34837
ABCD3	1	94883933	94984218	459823.6	348	0.000001620045	0.399155	-0.007712561	8	41.72973	91.13514	0.8729875	96.81639	6.813115	34.84965
ABCD4	14	74751980	74769767	652026.8	358	0.000002108215	0.48773	0.04657527	20	48.2973	95.05405	0.8657811	92.91148	7.885246	55.84817
ABCE1	4	146019156	146050675	189308.5	1139	0.000003121357	0.36517	0.03185671	4	39.18919	91.91892	0.9106537	103.8066	7.504918	33.65003
ABCF1	6	30539170	30559307	2080582	271	0.000002584484	0.46069	0.03242649	23	51.27027	97.75676	0.9215282	142.9213	18.3541	51.87839
ABCF2	7	150904923	150924317	610105.5	290	0.000002484955	0.52226	0.03197283	32	55.18919	98.59459	0.8650239	144.8885	21.32459	50.13067
ABCF3	3	183903863	183911795	1460188	257	0.000002826775	0.49677	0.04868541	18	68.08108	97.27027	0.9523697	162.3541	24.00328	54.74739
ABCG1	21	43619799	43717352	289449.4	464	0.000002440104	0.49939	0.07548005	10	45.08108	89.78378	0.8719654	124.6426	15.08197	55.72593
ABCG2	4	89011417	89080011	432576.2	209	0.000002428939	0.39894	-0.007456405	12	51.75676	98	0.8823616	104.082	9.87541	39.83317
ABCG4	11	119019750	119033372	1258103	195	0.000002215751	0.50676	0.05738091	35	45.72973	89.86486	0.9186766	197.623	35.81311	57.8161
ABCG5	2	44039612	44065958	544941.1	480	0.000002205067	0.38797	0.03453419	7	55.62162	95.24324	0.900675	89.73443	9.547541	45.46976
ABCG8	2	44066103	44105604	501561.5	480	0.000002232218	0.409915	0.03019154	7	54.13514	96.16216	0.9172445	143.8525	18.8623	54.81436
ABHD1	2	27346657	27353678	1214097	238	0.000001982134	0.51674	0.049806	24	53	95.45946	0.9051591	154.8066	21.48525	53.53893
ABHD10	3	111697828	111712208	239043.8	250	0.000002842351	0.389105	0.009626435	8	55.75676	94.37838	0.9322298	127.5672	15.51148	42.67931
ABHD11	7	73150427	73153190	1082063	214	0.000005174997	0.52942	0.05404935	17	43.83784	83.45946	0.9377962	89.8459	8.845902	59.28715
ABHD12	20	25275380	25371477	608596.9	348	0.000004203450	0.486705	-0.003477316	9	51.59459	88.56757	0.512664	73.96721	3.659016	50.73852
ABHD12B	14	51338878	51371687	411015.9	431	0.000002126386	0.43422	0.04101992	13	49.02703	93.45946	0.8908284	180.0426	34.73443	43.71964
ABHD13	13	108870763	108886602	71759	952	0.000005492834	0.38363	-0.03179743	3	51.67568	99.24324	0.9841235	125.1082	11.35738	37.07477
ABHD14A	3	52009042	52015215	1045639	224	0.000001721284	0.53508	0.03603107	21	39.35135	82.27027	0.8924344	105.177	14.4459	59.99226
ABHD14B	3	52002527	52008646	1045639	224	0.000001721284	0.53508	0.03603107	21	43.56757	89.37838	0.8937095	111.0656	10.43607	60.14599
ABHD15	17	27887691	27894042	802576.1	353	0.000002132650	0.3986	0.02282689	26	40.21622	72.86486	0.9366873	72.02623	5.262295	59.93596
ABHD2	15	89631381	89745591	639251.8	388	0.000002759787	0.44342	0.02212263	10	54.24324	98.45946	0.6180927	135.1016	15.21967	50.83563
ABHD3	18	19230858	19284766	269726	244	0.000003004426	0.43092	0.05687857	5	46.45946	89.37838	0.8923748	88.56393	4.767213	39.98185
ABHD4	14	23067147	23081257	975313.5	380	0.000002449197	0.44028	0.04919528	4	51.86486	93.10811	0.9154705	103.9738	9.409836	50.8588
ABHD5	3	43732375	43764216	103561.2	437	0.000002282714	0.41006	0.03327044	10	44.32432	90.08108	0.8996285	151.3246	24.45246	42.41874
ABHD6	3	58223259	58280459	611196	221	0.000002068427	0.46919	0.0433444	11	47.97297	97.08108	0.8609593	114.1246	11.38689	48.15088
ABHD8	19	17402941	17414282	842087.7	211	0.000002723248	0.56066	0.0433688	26	37.67568	70.89189	0.9395261	96.22623	9.459016	61.37897
ABI1	10	27035527	27150016	342601.8	447	0.000003549869	0.39995	0.03029796	5	43.56757	92.78378	0.8773359	119.6328	13.31148	42.15514
ABI2	2	204193003	204296891	415048.1	298	0.000001905376	0.40899	0.02278257	9	47.78378	93.67568	0.8876442	116.6623	12.6459	42.36208
ABI3	17	47287589	47300587	816202.1	346	0.000002841828	0.47312	0.02382217	22	43.40541	85.32432	0.890823	64.65246	7.193443	60.43112
ABI3BP	3	100468181	100712334	459170	548	0.000003069550	0.3735875	-0.0006129447	10	57.59459	97	0.7373498	70.31148	5.704918	41.2124
ABL1	9	133589268	133763060	505505.7	211	0.000002426606	0.4654867	0.02867805	8	49.08108	91.27027	0.8753249	111.6492	13.1082	53.9179
ABL2	1	179068463	179198819	328468	301	0.000003335676	0.435725	0.005576853	7	46.54054	92.83784	0.8606707	178.2328	26.72459	45.89616
ABLIM1	10	116190870	116444414	267956.7	257	0.000001959621	0.4429912	0.01296193	11	49.35135	95.97297	0.8272198	118.3902	14.9541	47.0254
ABLIM2	4	7967038	8160559	172573.2	230	0.000002360710	0.5086367	0.03571866	4	41.94595	86	0.7520181	63.95082	6.485246	54.57754
ABLIM3	5	148521054	148639999	339889.3	423	0.000001757145	0.4341	0.01687362	8	48.56757	94.91892	0.8345676	111.8492	9.931148	52.65422
ABO	9	136130563	136150630	1865433	416	0.000002497740	0.49187	0.04498202	17	43.27027	79.83784	0.8489134	47.90164	1.013115	57.76821
AOC1	7	150549573	150558379	763139.9	604	0.000003152084	0.43729	0.01895271	17	48.94595	93.02703	0.9584741	107.7148	8.934426	58.74901
ABR	17	906760	1090616	1346718	270	0.000003121177	0.548075	0.02217262	12	39.45946	79.56757	0.8063937	93.50164	9.478689	58.12341
ABRA	8	107771712	107782472	113559.9	708	0.000004107868	0.35217	0.0178425	3	57.02703	97	0.9626437	219.459	44.02295	52.43642
ABT1	6	26597180	26600275	411991.7	498	0.000004767589	0.427125	0.02377994	50	45.32432	91.78378	0.9537277	88.5082	6.672131	57.943
ABTB1	3	127391781	127399768	679357.8	336	0.000002761578	0.52221	0.04456161	6	48.91892	85.75676	0.955533	91.31803	12.60984	60.99516
ABTB2	11	34172535	34378802	769732.6	368	0.000002310664	0.4621233	0.03210051	9	44.02703	87.05405	0.6707454	55.4459	1.396721	58.30797
ACAA1	3	38164202	38178733	302137.4	411	0.000001946436	0.48682	0.03160935	10	44.43243	86.86486	0.8593603	89.70164	5.718033	55.06901
ACAA2	18	47309875	47340251	290591.2	530	0.000002534470	0.43653	0.03473029	7	42.89189	91.18919	0.9061703	89.35738	6.281967	38.81992
ACACA	17	35441928	35766902	526151	346	0.000002579329	0.4148625	0.01331777	12	54.24324	98	0.7597024	145.6197	20.33443	43.21241
ACACB	12	109577202	109706028	528827.7	519	0.000002183556	0.4647867	0.02909512	14	48.37838	95.43243	0.8885931	140.423	20.76721	52.97196
ACAD10	12	112123857	112194910	599161.1	203	0.000002354561	0.45658	0.03339864	8	52.08108	97.24324	0.8979552	138.6656	19.04262	50.03488
ACAD11	3	132276984	132378975	210776.5	598	0.000003432446	0.37365	0.01859862	7	51.78378	93.89189	0.6098511	113.2459	9.531148	37.61635
ACAD8	11	134123434	134135744	270350.2	623	0.000004375713	0.44418	0.02142897	9	47.86486	91.43243	0.8623857	84.76393	7.422951	52.25848
ACAD9	3	128598333	128631956	1117839	382	0.000002482870	0.464195	0.05354503	11	56.05405	96	0.8514303	117.3279	12.81311	53.59577
ACADL	2	211052718	211090215	190249	696	0.000003802256	0.35972	0.00218882	5	45.2973	93.21622	0.8640037	101.8721	8.44918	37.11592
ACADM	1	76190043	76229353	152733.9	578	0.000005727963	0.390675	-0.01324586	5	43.45946	91.91892	0.5938166	112.9377	10.54754	36.63878
ACADS	12	121163571	121177810	1741363	349	0.000002641079	0.49029	0.04185154	21	44.02703	79.67568	0.9148416	96.4918	11.58361	60.58303
ACADSB	10	124768429	124817805	256009.6	673	0.000002893146	0.405165	0.01727465	14	46.81081	93.2973	0.8712271	113.0984	10.5377	37.94647
ACADVL	17	7123153	7128584	1782958	316	0.000002273216	0.52047	0.02089463	30	44.48649	89.59459	0.9296756	101.1738	8.518033	56.07191
ACAN	15	89346674	89418585	561598.5	560	0.000003152189	0.48265	-0.0008326961	7	51.45946	92.24324	0.9498141	148.5836	20.97705	55.41881
ACAP1	17	7239848	7254793	1911735	206	0.000002247157	0.53544	0.03594318	38	42.37838	86.59459	0.9175704	117.1541	14.24262	57.7558
ACAP2	3	194995466	195163817	431673	561	0.000005721018	0.4275067	0.0431103	7	58.62162	94.2973	0.8584372	143.3311	20.02951	37.5196
ACAP3	1	1227764	1243269	1744013	273	0.000003403491	0.62447	0.02773012	26	36.02703	61.97297	0.8864379	42.44918	0.6721311	63.96077
ACAT1	11	107992258	108018889	417903.7	695	0.000002591243	0.404975	0.01862145	10	45.67568	94.27027	0.8818292	122.3508	16.43279	37.79948
ACAT2	6	160182989	160200085	648197	420	0.000003302743	0.43087	0.0224065	8	52.45946	94.40541	0.7393015	110.8459	10.46885	45.0712
ACBD3	1	226332382	226374423	756400.3	214	0.000002277764	0.47581	0.02416004	12	47.45946	88.83784	0.8999393	142.7115	24.01639	43.91887
ACBD4	17	43209967	43221541	806811.5	207	0.000002586693	0.52499	0.0321072	26	47.13514	92.32432	0.8990574	113.2525	13.97705	60.07731
ACBD5	10	27484144	27531068	383471.5	555	0.000003096112	0.410635	0.03622679	7	45.56757	94.10811	0.9011539	140.9738	19.80656	40.7293
ACBD6	1	180257353	180472022	543108.1	445	0.000002628262	0.4179933	0.01167259	10	49.67568	97.10811	0.639645	127.1934	17.19016	37.37059
ACBD7	10	15117475	15130775	254899.8	620	0.000003407834	0.44559	0.020916	12	37.02703	78.91892	0.9140934	125.2721	17.4459	40.40779
ASIC2	17	31340108	32483825	34504.38	1007	0.000004228683	0.4451917	-0.01485326	4	51.54054	83.35135	0.3972476	83.00328	5.157377	54.88452
ASIC1	12	50451487	50477393	1003045	211	0.000002164687	0.48028	0.05614912	25	50.40541	93.64865	0.8939418	128.7049	17.90492	57.93878
ASIC3	7	150745605	150749843	622098.2	373	0.000002712657	0.57286	0.04144484	27	43.56757	82.37838	0.9627096	117.141	13.84918	60.73979
ASIC4	2	220378892	220403488	554322.6	403	0.000002458549	0.55299	0.03331446	36	46	84.83784	0.9147705	94.25902	8.468852	61.71958
ASIC5	4	156750881	156787425	43786.69	643	0.000004780937	0.37063	-0.002352902	5	43.32432	94.16216	0.90593	97.96393	6.147541	36.64667
ACCS	11	44087729	44105569	345807.3	680	0.000002700547	0.45991	0.002661931	7	50.13514	97.45946	0.8782786	112.423	12.64262	55.79422
ACCSL	11	44069531	44081527	389604.5	680	0.000002742523	0.47319	0.001319919	7	55.54054	98.59459	0.8746321	182.3443	29.00984	50.06217
ACD	16	67691416	67694718	1065785	147	0.000001592781	0.49385	0.04088312	41	44.45946	83.81081	0.9839567	98.01639	6.685246	60.82414
ACE	17	61554434	61575739	874574.3	267	0.000002123180	0.47176	-0.02000917	6	47.54054	88.2973	0.8944784	99.85246	10.99344	57.94039
ACE2	23	15579156	15620192	179295	NaN	0.000002363347	0.389305	0.0315327	10	35.64865	84.83784	0.8878026	163.4393	27.28525	40.03297
ACER1	19	6306510	6333640	943949.3	407	0.000002777262	0.49583	0.0308021	26	45.91892	94.13514	0.9014429	98.36721	7.957377	57.45259
ACER2	9	19408925	19452500	496889.4	421	0.000002861115	0.41577	0.02417391	8	49.89189	95	0.8738259	168.9148	28.87869	48.25473
ACER3	11	76571917	76734850	279728.9	351	0.000002092692	0.42496	0.03629659	7	72.51351	91.27027	0.7841733	113.9607	12.20984	35.2165
ACHE	7	100487616	100493541	1339207	433	0.000003133511	0.52083	0.04759167	47	43	81.27027	0.9652211	70.8459	4.439344	63.24209
ACIN1	14	23527776	23564823	1261207	185	0.000002083005	0.48918	0.04082062	20	52.21622	93.83784	0.9103122	157.7475	24.86557	50.21705
ACLY	17	40023181	40075272	1857838	191	0.000002476090	0.49973	0.03254807	55	72.13514	98.32432	0.8737551	128.623	16.77049	52.64381
ACMSD	2	135596186	135659600	275439.8	496	0.000003111239	0.41888	0.01455206	4	52.16216	97.18919	0.827706	116.8557	12.9082	47.00313
ACN9	7	96745905	96811073	146007.4	987	0.000005583540	0.395615	-0.008533734	5	48.78378	95.48649	0.8282481	96.73115	4.996721	51.80561
ACO1	9	32384601	32450830	290567.2	424	0.000003725281	0.395815	-0.01848015	2	50.75676	97.45946	0.8862023	134.7279	17.3541	44.54037
ACO2	22	41865129	41924992	1474160	162	0.000002314607	0.513485	0.06945679	16	48.91892	92.40541	0.6701143	139.3541	19.1082	54.51855
ACOT11	1	55013901	55100417	688013.7	415	0.000001851702	0.49567	0.01756964	15	43.64865	87.7027	0.5248481	102.3279	11.47541	59.0041
ACOT12	5	80625948	80689988	114955.8	831	0.000002457876	0.39692	0.0155124	9	45.13514	92.48649	0.8868184	113.823	10.92459	42.00437
ACOT13	6	24667263	24705293	421216.3	362	0.000002734571	0.41128	0.02398857	9	55.27027	99.48649	0.8639628	91.8	5.396721	39.95785
ACOT2	14	74035772	74042357	606299.7	169	0.000002148233	0.46478	0.03875077	13	40.72973	81.48649	0.9453693	189.541	43.01311	51.84528
ACOT4	14	74058410	74062468	606299.7	169	0.000002148233	0.46478	0.03875077	13	45.75676	83.18919	0.9398481	109.541	14.41639	46.95979
ACOT6	14	74083548	74086590	606299.7	169	0.000002148233	0.46478	0.03875077	13	53.48649	98.67568	0.9199965	158.5344	23.87869	43.03279
ACOT7	1	6324333	6453826	643589.5	176	0.000002028333	0.543955	0.02580471	9	41.13514	79.86486	0.7833751	69.91475	3.806557	58.60667
ACOT8	20	44470361	44486035	742719.7	180	0.000002701667	0.445	0.04820838	36	51.48649	94.62162	0.8666968	120.8557	15.72131	56.39492
ACOT9	23	23721778	23761407	473182.6	NaN	0.000002297244	0.43209	0.04761723	4	34.83784	83.18919	0.8661524	119.9803	15.10492	39.14368
ACOX1	17	73937589	73975515	1667990	194	0.000002126905	0.52981	0.02194808	36	55.86486	97.59459	0.9163713	128.5836	13.85902	45.26182
ACOX2	3	58490864	58522929	551037.2	265	0.000002298923	0.44385	0.03303539	11	46.86486	94	0.877478	127.859	14.75082	51.98542
ACOX3	4	8368010	8442452	138503.8	332	0.000002591998	0.5233	0.04723373	7	46.21622	94.35135	0.840631	114.1934	14.38033	51.87132
ACP1	2	264869	278280	304764.6	624	0.000005039794	0.41613	-0.01806564	6	50.05405	92.13514	0.8725607	132.3607	13.22951	47.00027
ACP2	11	47260854	47270457	1274054	198	0.000001939420	0.4995	0.03764394	19	48.40541	93.51351	0.9072912	112.9967	10.14426	57.16882
ACP5	19	11685477	11689801	1152381	272	0.000002491116	0.53759	0.03072622	31	46.2973	89.78378	0.9608706	87.61311	5.419672	57.53519
PXYLP1	3	140950682	141013485	333902.7	352	0.000002875173	0.441795	0.02204146	5	66.67568	99.7027	0.8943509	159.459	23.18361	49.99035
ACPP	3	132036211	132087144	210154.1	765	0.000003582342	0.40229	0.01339206	4	61.81081	98.97297	0.8455597	151.118	18.83607	44.0305
ACPT	19	51293672	51298481	652250.2	593	0.000003482943	0.54317	0.02672805	31	41.05405	81.05405	0.9245864	102.941	16.76066	62.98868
ACRBP	12	6747242	6756580	2816983	210	0.000002468206	0.50626	0.06072098	20	53.16216	94.37838	0.8998342	98.08852	7.121311	54.61077
ACRC	23	70797874	70833433	848605	NaN	0.000002845662	0.43691	0.03928882	16	31.10811	80.37838	0.913701	106.1803	18.04262	45.90806
ACRV1	11	125542230	125550942	564542	595	0.000002668377	0.39562	0.0132121	17	55.13514	98.24324	0.7360486	167.7803	27.58033	46.09402
ACSBG1	15	78463189	78526899	421356.5	314	0.000002565870	0.47962	0.05168493	8	46.16216	91.10811	0.8849097	105.8262	10.76721	56.94691
ACSBG2	19	6135710	6193112	1332100	417	0.000002746934	0.46525	0.04026074	21	50.18919	97.75676	0.8657028	134.4656	19.90164	48.36928
ACSF2	17	48503519	48552200	1332860	200	0.000001907358	0.48033	0.02295402	23	50.7027	92.62162	0.5896566	103.0295	11.37049	56.24252
ACSL1	4	185676749	185747215	311713.1	515	0.000001847070	0.43008	0.02951392	7	49.2973	97.13514	0.8741021	151.823	23.26557	44.83998
ACSL3	2	223725732	223808118	261505.5	361	0.000002696140	0.41059	0.01438281	6	46.83784	96.94595	0.8857891	106.1574	8.695082	37.35251
ACSL4	23	108884564	108976621	209488.1	NaN	0.000002861560	0.38946	0.0442506	4	30.91892	79.10811	0.9190175	138.9443	17.87213	37.39569
ACSL5	10	114133916	114188137	184750	409	0.000002337686	0.45394	-0.003596889	4	50.18919	96.83784	0.8698265	138.3148	17.52787	45.19998
ACSL6	5	131289152	131347349	331470.7	484	0.000001878819	0.420145	0.02475284	7	44.97297	92.18919	0.8607245	112.1246	12.65246	50.91121
ACSM1	16	20634559	20702578	175988.7	641	0.000003241233	0.41138	0.01086702	12	51.08108	98.67568	0.8811793	165.7574	23.6459	49.71202
ACSM2A	16	20462859	20498989	181483.3	823	0.000003367724	0.4449	0.005616945	13	51.75676	98.62162	0.8755462	194.5934	39.40656	47.32289
ACSM2B	16	20548084	20587695	166410.4	726	0.000003316714	0.4272	-0.006120541	11	53.35135	98.51351	0.8812818	216.9672	44.80328	46.99282
ACSM3	16	20775312	20808478	211685.8	580	0.000003193547	0.40143	0.02289577	13	53.21622	99.75676	0.1884333	124.5836	13.40656	42.91279
ACSM4	12	7456928	7480969	1157790	439	0.000003890080	0.39693	0.02726136	42	57.10811	98.64865	0.9038692	70.4459	5.790164	45.35137
ACSM5	16	20420856	20452278	181483.3	823	0.000003367724	0.4449	0.005616945	13	49.72973	96.91892	0.8749266	140.9377	19.88852	50.69779
ACSS1	20	24986874	25039616	572145.6	563	0.000003558720	0.482835	-0.01837398	5	50.86486	90.2973	0.8883764	103.9311	11.65574	55.68085
ACSS2	20	33464328	33515769	1004645	205	0.000002209348	0.44555	0.04403839	12	56.40541	96.02703	0.8934196	175.3869	28.73443	51.00922
ACSS3	12	81471809	81649582	26210.62	1037	0.000004890320	0.35614	-0.02013287	6	43.72973	92.05405	0.8899359	107.777	9.108197	38.99683
ACTA1	1	229566995	229569843	243405.2	361	0.000002779558	0.45144	0.02946144	11	33.32432	61.81081	0.9769524	108.8033	9.245902	62.11298
ACTA2	10	90694832	90751147	181405.5	267	0.000001878242	0.38763	0.02957654	10	49.18919	97.48649	0.8368599	122.1803	12.59016	48.85457
ACTB	7	5566783	5570232	1906749	195	0.000003003148	0.55276	0.03384876	11	51.32432	86.83784	0.952655	154.4197	23.27541	57.97804
ACTBL2	5	56775844	56778636	160054.8	456	0.000002488092	0.40511	0.003001401	5	49.16216	97.37838	0.9756696	94.28197	4.12459	51.25169
